0,0,0
1,3.95501,0.0014238
2,7.8982,0.00284335
3,11.8296,0.00425866
4,15.7493,0.00566976
5,19.6574,0.00707667
6,23.5539,0.0084794
7,27.4389,0.00987799
8,31.3124,0.0112724
9,35.1744,0.0126628
10,39.0252,0.0140491
11,42.8646,0.0154313
12,46.6929,0.0168094
13,50.5099,0.0181836
14,54.3158,0.0195537
15,58.1107,0.0209199
16,61.8946,0.0222821
17,65.6676,0.0236403
18,69.4297,0.0249947
19,73.181,0.0263451
20,76.9215,0.0276917
21,80.6513,0.0290345
22,84.3705,0.0303734
23,88.0791,0.0317085
24,91.7772,0.0330398
25,95.4649,0.0343674
26,99.1421,0.0356912
27,102.809,0.0370113
28,106.466,0.0383276
29,110.112,0.0396404
30,113.748,0.0409494
31,117.375,0.0422548
32,120.991,0.0435566
33,124.597,0.0448548
34,128.193,0.0461495
35,131.779,0.0474405
36,135.356,0.0487281
37,138.923,0.0500122
38,142.48,0.0512927
39,146.027,0.0525698
40,149.565,0.0538435
41,153.094,0.0551137
42,156.613,0.0563805
43,160.122,0.057644
44,163.622,0.0589041
45,167.113,0.0601608
46,170.595,0.0614143
47,174.068,0.0626644
48,177.531,0.0639113
49,180.986,0.0651549
50,184.431,0.0663953
51,187.868,0.0676325
52,191.296,0.0688665
53,194.715,0.0700973
54,198.125,0.071325
55,201.527,0.0725496
56,204.919,0.073771
57,208.304,0.0749894
58,211.68,0.0762047
59,215.047,0.077417
60,218.406,0.0786263
61,221.757,0.0798326
62,225.1,0.0810359
63,228.434,0.0822362
64,231.76,0.0834336
65,235.078,0.0846281
66,238.388,0.0858198
67,241.69,0.0870085
68,244.985,0.0881944
69,248.271,0.0893775
70,251.55,0.0905578
71,254.82,0.0917353
72,258.084,0.0929101
73,261.339,0.0940821
74,264.587,0.0952514
75,267.828,0.096418
76,271.061,0.0975819
77,274.287,0.0987432
78,277.505,0.0999018
79,280.716,0.101058
80,283.92,0.102211
81,287.117,0.103362
82,290.307,0.104511
83,293.49,0.105656
84,296.666,0.1068
85,299.835,0.10794
86,302.997,0.109079
87,306.152,0.110215
88,309.301,0.111348
89,312.443,0.112479
90,315.578,0.113608
91,318.707,0.114735
92,321.829,0.115859
93,324.945,0.11698
94,328.055,0.1181
95,331.158,0.119217
96,334.255,0.120332
97,337.346,0.121445
98,340.431,0.122555
99,343.51,0.123663
100,346.582,0.12477
101,349.649,0.125874
102,352.71,0.126976
103,355.765,0.128075
104,358.814,0.129173
105,361.858,0.130269
106,364.896,0.131363
107,367.928,0.132454
108,370.955,0.133544
109,373.977,0.134632
110,376.993,0.135717
111,380.003,0.136801
112,383.009,0.137883
113,386.009,0.138963
114,389.004,0.140041
115,391.993,0.141118
116,394.978,0.142192
117,397.958,0.143265
118,400.933,0.144336
119,403.903,0.145405
120,406.868,0.146472
121,409.828,0.147538
122,412.784,0.148602
123,415.735,0.149665
124,418.682,0.150725
125,421.624,0.151785
126,424.561,0.152842
127,427.494,0.153898
128,430.423,0.154952
129,433.348,0.156005
130,436.268,0.157056
131,439.184,0.158106
132,442.096,0.159155
133,445.004,0.160202
134,447.908,0.161247
135,450.808,0.162291
136,453.705,0.163334
137,456.597,0.164375
138,459.486,0.165415
139,462.371,0.166454
140,465.252,0.167491
141,468.13,0.168527
142,471.004,0.169562
143,473.875,0.170595
144,476.743,0.171627
145,479.607,0.172659
146,482.468,0.173688
147,485.326,0.174717
148,488.18,0.175745
149,491.032,0.176771
150,493.88,0.177797
151,496.725,0.178821
152,499.568,0.179844
153,502.408,0.180867
154,505.245,0.181888
155,508.079,0.182908
156,510.91,0.183928
157,513.739,0.184946
158,516.565,0.185964
159,519.389,0.18698
160,522.211,0.187996
161,525.03,0.189011
162,527.846,0.190025
163,530.661,0.191038
164,533.473,0.19205
165,536.283,0.193062
166,539.091,0.194073
167,541.897,0.195083
168,544.701,0.196092
169,547.503,0.197101
170,550.304,0.198109
171,553.102,0.199117
172,555.899,0.200124
173,558.694,0.20113
174,561.488,0.202136
175,564.28,0.203141
176,567.07,0.204145
177,569.859,0.205149
178,572.647,0.206153
179,575.433,0.207156
180,578.218,0.208159
181,581.002,0.209161
182,583.785,0.210163
183,586.567,0.211164
184,589.348,0.212165
185,592.127,0.213166
186,594.906,0.214166
187,597.684,0.215166
188,600.462,0.216166
189,603.238,0.217166
190,606.014,0.218165
191,608.79,0.219164
192,611.564,0.220163
193,614.339,0.221162
194,617.113,0.222161
195,619.886,0.223159
196,622.659,0.224157
197,625.432,0.225156
198,628.205,0.226154
199,630.978,0.227152
200,633.751,0.22815
201,636.523,0.229148
