T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-53.7000000000,0.0003552419,0.0003739388,0.0003926357,0.0003783662,0.0003654111
-53.6000000000,0.0003550971,0.0003737864,0.0003924757,0.0003782161,0.0003652606
-53.5000000000,0.0003549523,0.0003736340,0.0003923157,0.0003780661,0.0003651100
-53.4000000000,0.0003548075,0.0003734816,0.0003921557,0.0003779160,0.0003649594
-53.3000000000,0.0003546627,0.0003733292,0.0003919957,0.0003777660,0.0003648089
-53.2000000000,0.0003545180,0.0003731768,0.0003918356,0.0003776159,0.0003646583
-53.1000000000,0.0003543732,0.0003730244,0.0003916756,0.0003774659,0.0003645077
-53.0000000000,0.0003542284,0.0003728720,0.0003915156,0.0003773158,0.0003643572
-52.9000000000,0.0003540836,0.0003727196,0.0003913556,0.0003771658,0.0003642066
-52.8000000000,0.0003539388,0.0003725672,0.0003911956,0.0003770157,0.0003640560
-52.7000000000,0.0003537941,0.0003724148,0.0003910355,0.0003768656,0.0003639054
-52.6000000000,0.0003536493,0.0003722624,0.0003908755,0.0003767156,0.0003637549
-52.5000000000,0.0003535045,0.0003721100,0.0003907155,0.0003767716,0.0003638110
-52.4000000000,0.0003533597,0.0003719576,0.0003905555,0.0003766213,0.0003636601
-52.3000000000,0.0003532149,0.0003718052,0.0003903955,0.0003764709,0.0003635093
-52.2000000000,0.0003530702,0.0003716528,0.0003902354,0.0003763206,0.0003633584
-52.1000000000,0.0003529254,0.0003715004,0.0003900754,0.0003761703,0.0003632076
-52.0000000000,0.0003527806,0.0003713480,0.0003899154,0.0003760199,0.0003630567
-51.9000000000,0.0003526358,0.0003711956,0.0003897554,0.0003758696,0.0003629059
-51.8000000000,0.0003524910,0.0003710432,0.0003895954,0.0003757193,0.0003627550
-51.7000000000,0.0003523463,0.0003708908,0.0003894353,0.0003755689,0.0003626042
-51.6000000000,0.0003522015,0.0003707384,0.0003892753,0.0003754186,0.0003624533
-51.5000000000,0.0003520567,0.0003705860,0.0003891153,0.0003752683,0.0003623025
-51.4000000000,0.0003519119,0.0003704336,0.0003889553,0.0003751179,0.0003621516
-51.3000000000,0.0003517671,0.0003702812,0.0003887953,0.0003749676,0.0003620007
-51.2000000000,0.0003516224,0.0003701288,0.0003886352,0.0003748172,0.0003618499
-51.1000000000,0.0003514776,0.0003699764,0.0003884752,0.0003746669,0.0003616990
-51.0000000000,0.0003513328,0.0003698240,0.0003883152,0.0003745165,0.0003615481
-50.9000000000,0.0003511880,0.0003696716,0.0003881552,0.0003743662,0.0003613973
-50.8000000000,0.0003510432,0.0003695192,0.0003879952,0.0003742159,0.0003612464
-50.7000000000,0.0003508985,0.0003693668,0.0003878351,0.0003740655,0.0003610955
-50.6000000000,0.0003507537,0.0003692144,0.0003876751,0.0003739152,0.0003609447
-50.5000000000,0.0003506089,0.0003690620,0.0003875151,0.0003737648,0.0003607938
-50.4000000000,0.0003504641,0.0003689096,0.0003873551,0.0003736144,0.0003606429
-50.3000000000,0.0003503193,0.0003687572,0.0003871951,0.0003734641,0.0003604920
-50.2000000000,0.0003501746,0.0003686048,0.0003870350,0.0003733137,0.0003603412
-50.1000000000,0.0003500298,0.0003684524,0.0003868750,0.0003731634,0.0003601903
-50.0000000000,0.0003498850,0.0003683000,0.0003867150,0.0003730130,0.0003600394
-49.9000000000,0.0003497402,0.0003681476,0.0003865550,0.0003728627,0.0003598885
-49.8000000000,0.0003495954,0.0003679952,0.0003863950,0.0003727123,0.0003597376
-49.7000000000,0.0003494507,0.0003678428,0.0003862349,0.0003725619,0.0003595867
-49.6000000000,0.0003493059,0.0003676904,0.0003860749,0.0003724116,0.0003594358
-49.5000000000,0.0003491611,0.0003675380,0.0003859149,0.0003722612,0.0003592849
-49.4000000000,0.0003490163,0.0003673856,0.0003857549,0.0003721108,0.0003591341
-49.3000000000,0.0003488715,0.0003672332,0.0003855949,0.0003719605,0.0003589832
-49.2000000000,0.0003487268,0.0003670808,0.0003854348,0.0003718101,0.0003588323
-49.1000000000,0.0003485820,0.0003669284,0.0003852748,0.0003716597,0.0003586814
-49.0000000000,0.0003484372,0.0003667760,0.0003851148,0.0003715094,0.0003585305
-48.9000000000,0.0003482924,0.0003666236,0.0003849548,0.0003713590,0.0003583796
-48.8000000000,0.0003481476,0.0003664712,0.0003847948,0.0003712086,0.0003582287
