T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high,D_TF_low,D_TF_mean
-54.6000000000,0.0003565449,0.0003753104,0.0003940759,0.0004045197,0.0003305764,0.0003679006
-54.5000000000,0.0003564001,0.0003751580,0.0003939159,0.0004043697,0.0003304255,0.0003677504
-54.4000000000,0.0003562553,0.0003750056,0.0003937559,0.0004042198,0.0003302746,0.0003676002
-54.3000000000,0.0003561105,0.0003748532,0.0003935959,0.0004040699,0.0003301237,0.0003674500
-54.2000000000,0.0003559658,0.0003747008,0.0003934358,0.0004039200,0.0003299728,0.0003672997
-54.1000000000,0.0003558210,0.0003745484,0.0003932758,0.0004037701,0.0003298219,0.0003671495
-54.0000000000,0.0003556762,0.0003743960,0.0003931158,0.0004036201,0.0003296710,0.0003669993
-53.9000000000,0.0003555314,0.0003742436,0.0003929558,0.0004034702,0.0003295201,0.0003668491
-53.8000000000,0.0003553866,0.0003740912,0.0003927958,0.0004033203,0.0003293692,0.0003666989
-53.7000000000,0.0003552419,0.0003739388,0.0003926357,0.0004031704,0.0003292183,0.0003665487
-53.6000000000,0.0003550971,0.0003737864,0.0003924757,0.0004030204,0.0003290674,0.0003663984
-53.5000000000,0.0003549523,0.0003736340,0.0003923157,0.0004028705,0.0003289165,0.0003662482
-53.4000000000,0.0003548075,0.0003734816,0.0003921557,0.0004027206,0.0003287656,0.0003660980
-53.3000000000,0.0003546627,0.0003733292,0.0003919957,0.0004025706,0.0003286147,0.0003659478
-53.2000000000,0.0003545180,0.0003731768,0.0003918356,0.0004024207,0.0003284637,0.0003657975
-53.1000000000,0.0003543732,0.0003730244,0.0003916756,0.0004022708,0.0003283128,0.0003656473
-53.0000000000,0.0003542284,0.0003728720,0.0003915156,0.0004021209,0.0003281619,0.0003654971
-52.9000000000,0.0003540836,0.0003727196,0.0003913556,0.0004019709,0.0003280110,0.0003653468
-52.8000000000,0.0003539388,0.0003725672,0.0003911956,0.0004018210,0.0003278601,0.0003651966
-52.7000000000,0.0003537941,0.0003724148,0.0003910355,0.0004016710,0.0003277091,0.0003650464
-52.6000000000,0.0003536493,0.0003722624,0.0003908755,0.0004015211,0.0003275582,0.0003648961
-52.5000000000,0.0003535045,0.0003721100,0.0003907155,0.0004015770,0.0003276146,0.0003649522
-52.4000000000,0.0003533597,0.0003719576,0.0003905555,0.0004014268,0.0003274634,0.0003648017
-52.3000000000,0.0003532149,0.0003718052,0.0003903955,0.0004012766,0.0003273122,0.0003646512
-52.2000000000,0.0003530702,0.0003716528,0.0003902354,0.0004011263,0.0003271610,0.0003645007
-52.1000000000,0.0003529254,0.0003715004,0.0003900754,0.0004009761,0.0003270098,0.0003643502
-52.0000000000,0.0003527806,0.0003713480,0.0003899154,0.0004008259,0.0003268586,0.0003641997
-51.9000000000,0.0003526358,0.0003711956,0.0003897554,0.0004006757,0.0003267074,0.0003640491
-51.8000000000,0.0003524910,0.0003710432,0.0003895954,0.0004005255,0.0003265561,0.0003638986
-51.7000000000,0.0003523463,0.0003708908,0.0003894353,0.0004003753,0.0003264049,0.0003637481
-51.6000000000,0.0003522015,0.0003707384,0.0003892753,0.0004002251,0.0003262537,0.0003635976
-51.5000000000,0.0003520567,0.0003705860,0.0003891153,0.0004000749,0.0003261025,0.0003634471
-51.4000000000,0.0003519119,0.0003704336,0.0003889553,0.0003999247,0.0003259513,0.0003632966
-51.3000000000,0.0003517671,0.0003702812,0.0003887953,0.0003997744,0.0003258001,0.0003631461
-51.2000000000,0.0003516224,0.0003701288,0.0003886352,0.0003996242,0.0003256488,0.0003629955
-51.1000000000,0.0003514776,0.0003699764,0.0003884752,0.0003994740,0.0003254976,0.0003628450
-51.0000000000,0.0003513328,0.0003698240,0.0003883152,0.0003993238,0.0003253464,0.0003626945
-50.9000000000,0.0003511880,0.0003696716,0.0003881552,0.0003991736,0.0003251951,0.0003625440
-50.8000000000,0.0003510432,0.0003695192,0.0003879952,0.0003990234,0.0003250439,0.0003623934
-50.7000000000,0.0003508985,0.0003693668,0.0003878351,0.0003988731,0.0003248927,0.0003622429
-50.6000000000,0.0003507537,0.0003692144,0.0003876751,0.0003987229,0.0003247414,0.0003620924
-50.5000000000,0.0003506089,0.0003690620,0.0003875151,0.0003985727,0.0003245902,0.0003619419
-50.4000000000,0.0003504641,0.0003689096,0.0003873551,0.0003984225,0.0003244389,0.0003617913
-50.3000000000,0.0003503193,0.0003687572,0.0003871951,0.0003982722,0.0003242877,0.0003616408
-50.2000000000,0.0003501746,0.0003686048,0.0003870350,0.0003981220,0.0003241364,0.0003614903
-50.1000000000,0.0003500298,0.0003684524,0.0003868750,0.0003979718,0.0003239852,0.0003613397
-50.0000000000,0.0003498850,0.0003683000,0.0003867150,0.0003978215,0.0003238339,0.0003611892
-49.9000000000,0.0003497402,0.0003681476,0.0003865550,0.0003976713,0.0003236827,0.0003610386
-49.8000000000,0.0003495954,0.0003679952,0.0003863950,0.0003975211,0.0003235314,0.0003608881
-49.7000000000,0.0003494507,0.0003678428,0.0003862349,0.0003973708,0.0003233802,0.0003607376
-49.6000000000,0.0003493059,0.0003676904,0.0003860749,0.0003972206,0.0003232289,0.0003605870
-49.5000000000,0.0003491611,0.0003675380,0.0003859149,0.0003970704,0.0003230776,0.0003604365
-49.4000000000,0.0003490163,0.0003673856,0.0003857549,0.0003969201,0.0003229264,0.0003602859
-49.3000000000,0.0003488715,0.0003672332,0.0003855949,0.0003967699,0.0003227751,0.0003601354
-49.2000000000,0.0003487268,0.0003670808,0.0003854348,0.0003966197,0.0003226238,0.0003599848
-49.1000000000,0.0003485820,0.0003669284,0.0003852748,0.0003964694,0.0003224726,0.0003598343
-49.0000000000,0.0003484372,0.0003667760,0.0003851148,0.0003963192,0.0003223213,0.0003596837
-48.9000000000,0.0003482924,0.0003666236,0.0003849548,0.0003961689,0.0003221700,0.0003595332
-48.8000000000,0.0003481476,0.0003664712,0.0003847948,0.0003960187,0.0003220187,0.0003593826
-48.7000000000,0.0003480029,0.0003663188,0.0003846347,0.0003958685,0.0003218674,0.0003592321
-48.6000000000,0.0003478581,0.0003661664,0.0003844747,0.0003957182,0.0003217162,0.0003590815
-48.5000000000,0.0003477133,0.0003660140,0.0003843147,0.0003955680,0.0003215649,0.0003589309
-48.4000000000,0.0003475685,0.0003658616,0.0003841547,0.0003954177,0.0003214136,0.0003587804
-48.3000000000,0.0003474237,0.0003657092,0.0003839947,0.0003952675,0.0003212623,0.0003586298
-48.2000000000,0.0003472790,0.0003655568,0.0003838346,0.0003951172,0.0003211110,0.0003584792
-48.1000000000,0.0003471342,0.0003654044,0.0003836746,0.0003949670,0.0003209597,0.0003583287
-48.0000000000,0.0003469894,0.0003652520,0.0003835146,0.0003948167,0.0003208084,0.0003581781
-47.9000000000,0.0003468446,0.0003650996,0.0003833546,0.0003946665,0.0003206571,0.0003580275
-47.8000000000,0.0003466998,0.0003649472,0.0003831946,0.0003945162,0.0003205058,0.0003578770
-47.7000000000,0.0003465551,0.0003647948,0.0003830345,0.0003943659,0.0003203545,0.0003577264
-47.6000000000,0.0003464103,0.0003646424,0.0003828745,0.0003942157,0.0003202032,0.0003575758
-47.5000000000,0.0003462655,0.0003644900,0.0003827145,0.0003942580,0.0003202459,0.0003576183
-47.4000000000,0.0003461207,0.0003643376,0.0003825545,0.0003941075,0.0003200943,0.0003574675
-47.3000000000,0.0003459759,0.0003641852,0.0003823945,0.0003939570,0.0003199428,0.0003573166
